user_id,username,email,org_id,role,division
usr_001,joshua28,brian72@example.org,org_003,analyst,emea
usr_002,olivia62,margaretcooper@example.org,org_002,analyst,north_america
usr_003,barradam,powellfred@example.net,org_001,analyst,apac
usr_004,mary80,steven80@example.com,org_003,analyst,
usr_005,sharon58,myersmario@example.org,org_003,admin,
usr_006,andreatrujillo,wrightsheryl@example.org,org_002,viewer,emea
usr_007,katrina62,ileonard@example.org,org_003,analyst,
usr_008,matthew56,cynthia22@example.org,org_001,viewer,emea
usr_009,gjackson,thompsonjillian@example.net,org_002,analyst,north_america
usr_010,tjohnson,christophercardenas@example.org,org_002,analyst,north_america
usr_011,holmeschristina,laustin@example.net,org_003,admin,
usr_012,danny95,katelyn19@example.org,org_002,analyst,
usr_013,joshua22,hernandezdanny@example.net,org_002,admin,north_america
usr_014,bradshawadam,waltonheather@example.net,org_003,analyst,emea
usr_015,carterrobert,theresahardy@example.com,org_003,viewer,north_america
